id	name_en	name_zhHant	brand	group_en	group_zhHant	basePrice	tier	tierName	category_en	maxItemsPerBox	isStackable	containerClass	boxClass	hasTrueCollider	colX	colY	colZ	trueX	trueY	trueZ
149	Crab Sticks	蟹棒	Sushinet	Seafood	海鮮	4.79	23	146-149	Seafood I	40	True	1	0	True	0.1	0.023534518	0.17	0.17	0.02353452	0.1
150	Book - Electromagnetic	書 - 電磁	Bookapop	Books	圖書	9.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
151	Book - Surprise	書 - 驚喜	Bookapop	Books	圖書	6.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
152	Book - ABC	書 - ABC	Bookapop	Books	圖書	7.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
153	Book - Mother And Child	書 - 母親和孩子	Bookapop	Books	圖書	9.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
154	Book - Colors	書 - 顏色	Bookapop	Books	圖書	9.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
155	Book - Piticha	書 - Piticha	Bookapop	Books	圖書	7.99	24	150-155	Books Pack I	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
156	Book - OnceUpon	書 - 曾經	Bookapop	Books	圖書	7.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
157	Book - Krok	書 - 克洛克	Bookapop	Books	圖書	9.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
158	Book - Adventures	書 - 冒險	Bookapop	Books	圖書	9.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
159	Book - Donnine	書 - 唐寧	Bookapop	Books	圖書	9.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
160	Book - Vintage	書 - 復古	Bookapop	Books	圖書	7.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
161	Book - I Wont Share	書 - 我不會分享	Bookapop	Books	圖書	9.99	25	156-161	Books Pack II	30	False	0	0	False	0.205	0.29999998	0.02700021	0.1	0.1	0.1
162	Beer Pack	啤酒包	BK	Alcoholic Drinks	酒精飲料	7.97	26	162-166	Alcoholic Drinks I	20	True	0	0	False	0.1514342	0.15500003	0.09404306	0.1	0.1	0.1
163	Beer Pack	啤酒包	Teochew	Alcoholic Drinks	酒精飲料	9.97	26	162-166	Alcoholic Drinks I	20	True	0	0	False	0.1514342	0.15500003	0.09404306	0.1	0.1	0.1
164	Beer Pack	啤酒包	Fess	Alcoholic Drinks	酒精飲料	12.79	26	162-166	Alcoholic Drinks I	20	True	0	0	False	0.1514342	0.15500003	0.09404306	0.1	0.1	0.1
165	Beer Barrel	啤酒桶	DEGL	Alcoholic Drinks	酒精飲料	15.5	26	162-166	Alcoholic Drinks I	20	True	0	0	False	0.21678163	0.3821784	0.21678162	0.1	0.1	0.1
166	Beer Barrel	啤酒桶	Fess	Alcoholic Drinks	酒精飲料	18.4	26	162-166	Alcoholic Drinks I	20	True	0	0	False	0.21678163	0.3821784	0.21678162	0.1	0.1	0.1
167	Vodka	伏特加酒	Magnat	Alcoholic Drinks	酒精飲料	14.5	27	167-171	Alcoholic Drinks II	20	False	0	0	False	0.09978589	0.37525332	0.10596552	0.1	0.1	0.1
168	Red Wine	紅葡萄酒	Heng Heng	Alcoholic Drinks	酒精飲料	13.5	27	167-171	Alcoholic Drinks II	20	False	0	0	False	0.094375536	0.3226456	0.093902364	0.1	0.1	0.1
169	Rose Wine	桃紅葡萄酒	Chebon	Alcoholic Drinks	酒精飲料	19.8	27	167-171	Alcoholic Drinks II	20	False	0	0	False	0.094375536	0.3226456	0.093902364	0.1	0.1	0.1
170	White Wine	白酒	Chebon	Alcoholic Drinks	酒精飲料	25.2	27	167-171	Alcoholic Drinks II	20	False	0	0	False	0.094375536	0.3226456	0.093902364	0.1	0.1	0.1
171	Beer Barrel	潮州話	Teochew	Alcoholic Drinks	酒精飲料	22.1	27	167-171	Alcoholic Drinks II	20	True	0	0	False	0.21678163	0.3821784	0.21678162	0.1	0.1	0.1
172	Premium Vodka	優質伏特加	Eay	Alcoholic Drinks	酒精飲料	23.4	28	172-175	Alcoholic Drinks III	20	False	0	0	False	0.09978585	0.37525332	0.10596548	0.1	0.1	0.1
173	Japanese Whisky	日本威士忌	TeiaoChen	Alcoholic Drinks	酒精飲料	25.6	28	172-175	Alcoholic Drinks III	20	False	0	0	False	0.08561319	0.2495505	0.08611319	0.1	0.1	0.1
174	Premium Whisky	優質威士忌	Grand Marnier	Alcoholic Drinks	酒精飲料	21.5	28	172-175	Alcoholic Drinks III	20	False	0	0	False	0.1148284	0.24218944	0.11546091	0.1	0.1	0.1
175	Premium Whisky	優質威士忌	Jack Sublett	Alcoholic Drinks	酒精飲料	29.99	28	172-175	Alcoholic Drinks III	20	False	0	0	False	0.11621457	0.32509616	0.11621459	0.1	0.1	0.1
176	Hydrogen Peroxide	過氧化氫	Farmanautics	Pharmacy	藥局	2.7	29	176-182	Pharmacy I	40	False	0	0	False	0.063536875	0.14238699	0.06342687	0.1	0.1	0.1
177	Disinfectant	消毒劑	Farmanautics	Pharmacy	藥局	3.5	29	176-182	Pharmacy I	50	False	0	0	False	0.05578789	0.1575514	0.0503838	0.1	0.1	0.1
178	Ibuprofen	布洛芬	Farmanautics	Pharmacy	藥局	7.6	29	176-182	Pharmacy I	60	False	0	0	False	0.054944396	0.09485517	0.054725364	0.1	0.1	0.1
179	Paracetamol	撲熱息痛	Farmanautics	Pharmacy	藥局	5.6	29	176-182	Pharmacy I	60	True	0	0	False	0.15975007	0.06945658	0.029171778	0.1	0.1	0.1
180	Adhesive Bandages	OK繃	Farmanautics	Pharmacy	藥局	4.2	29	176-182	Pharmacy I	60	False	0	0	False	0.100800015	0.12600002	0.020160023	0.1	0.1	0.1
181	Laxative	瀉藥	Farmanautics	Pharmacy	藥局	8	29	176-182	Pharmacy I	50	True	0	0	False	0.15975007	0.06945658	0.029171778	0.1	0.1	0.1
182	Antihistamine	抗組織胺藥	Farmanautics	Pharmacy	藥局	9.5	29	176-182	Pharmacy I	80	True	0	0	False	0.15040727	0.065394476	0.045776144	0.1	0.1	0.1
183	Zinc Supplement	補鋅	Naturreach	Pharmacy	藥局	8.99	30	183-190	Pharmacy II	40	False	0	0	False	0.09869716	0.17352809	0.09830371	0.1	0.1	0.1
184	Antioxidant	抗氧化劑	Naturreach	Pharmacy	藥局	11.49	30	183-190	Pharmacy II	60	False	0	0	False	0.07044153	0.12166182	0.070160724	0.1	0.1	0.1
185	Fish Oil	魚油	Naturreach	Pharmacy	藥局	12.99	30	183-190	Pharmacy II	40	False	0	0	False	0.089814425	0.1580073	0.08945639	0.1	0.1	0.1
186	Algae Pills	海藻丸	Naturreach	Pharmacy	藥局	18.99	30	183-190	Pharmacy II	40	False	0	0	False	0.089814425	0.15843579	0.08945639	0.1	0.1	0.1
187	Vitamins	維生素	Naturreach	Pharmacy	藥局	13.49	30	183-190	Pharmacy II	50	True	0	0	False	0.18341565	0.11974598	0.055822182	0.1	0.1	0.1
188	Melatonin	褪黑素	Naturreach	Pharmacy	藥局	8.99	30	183-190	Pharmacy II	60	True	0	0	False	0.15975007	0.06945658	0.029171778	0.1	0.1	0.1
189	Sunscreen	防曬乳	Farmanautics	Pharmacy	藥局	8.95	30	183-190	Pharmacy II	40	False	0	0	False	0.12105456	0.23330848	0.06998201	0.1	0.1	0.1
190	Stretch Cream	彈性霜	Farmanautics	Pharmacy	藥局	13.99	30	183-190	Pharmacy II	40	False	0	0	False	0.071053885	0.2038938	0.047369275	0.1	0.1	0.1
191	Red Apple Tray	紅蘋果托盤	VegeBiz	Produce	農產品	4.05	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
192	Green Apple Tray	青蘋果托盤	VegeBiz	Produce	農產品	2.85	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
193	Clementine Tray	克萊門汀托盤	VegeBiz	Produce	農產品	2.79	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
194	Orange Tray	橘色托盤	VegeBiz	Produce	農產品	3.19	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
195	Pear Tray	梨托盤	VegeBiz	Produce	農產品	2.99	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
196	Lemon Tray	檸檬托盤	VegeBiz	Produce	農產品	2.13	31	191-196	Produce I	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
197	Mango Tray	芒果托盤	VegeBiz	Produce	農產品	6.79	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
198	Avocado Tray	酪梨托盤	VegeBiz	Produce	農產品	5.49	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
199	Kiwi Tray	奇異果托盤	VegeBiz	Produce	農產品	4.89	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
200	Papaya Tray	木瓜托盤	VegeBiz	Produce	農產品	8.9	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
201	Strawberry Tray	草莓托盤	VegeBiz	Produce	農產品	5.65	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
202	Cherry Tray	櫻桃托盤	VegeBiz	Produce	農產品	6.25	32	197-202	Produce II	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
203	Artichoke Tray	朝鮮薊托盤	VegeBiz	Produce	農產品	6.99	33	203-208	Produce III	24	False	3	0	False	0.19	0.22040342	0.29	0.1	0.1	0.1
204	Zucchini Tray	西葫蘆托盤	VegeBiz	Produce	農產品	6.85	33	203-208	Produce III	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
205	Carrot Tray	胡蘿蔔盤	VegeBiz	Produce	農產品	2.45	33	203-208	Produce III	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
206	Tomato Tray	番茄托盤	VegeBiz	Produce	農產品	2.89	33	203-208	Produce III	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
207	Potato Tray	馬鈴薯盤	VegeBiz	Produce	農產品	2.65	33	203-208	Produce III	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
208	Onion Tray	洋蔥盤	VegeBiz	Produce	農產品	1.89	33	203-208	Produce III	24	True	3	0	False	0.19	0.12	0.29	0.1	0.1	0.1
209	Banana Pack	香蕉包	VegeBiz	Produce	農產品	2.99	34	209-213	Produce IV	18	False	3	0	False	0.19	0.15	0.19	0.1	0.1	0.1
210	Melon	瓜	VegeBiz	Produce	農產品	3.49	34	209-213	Produce IV	18	False	3	0	False	0.19	0.18	0.19	0.1	0.1	0.1
211	Pineapple	鳳梨	VegeBiz	Produce	農產品	3.98	34	209-213	Produce IV	18	False	3	0	False	0.19	0.27	0.19	0.1	0.1	0.1
212	Pumpkin	南瓜	VegeBiz	Produce	農產品	3.5	34	209-213	Produce IV	18	False	3	0	False	0.19	0.22179998	0.19	0.1	0.1	0.1
213	Watermelon	西瓜	VegeBiz	Produce	農產品	4.7	34	209-213	Produce IV	18	False	3	0	False	0.19	0.21	0.19	0.1	0.1	0.1
214	Baby Food: Vegetables	嬰兒食品：蔬菜	CaringTender	Child Care	兒童保育	3.69	35	214-219	Child Care I	40	False	0	0	False	0.12596005	0.16199404	0.12766477	0.1	0.1	0.1
215	Baby Food: Fish	嬰兒食品：魚	CaringTender	Child Care	兒童保育	3.69	35	214-219	Child Care I	40	False	0	0	False	0.111843884	0.15459643	0.11313499	0.1	0.1	0.1
216	Baby Food: Fruits	嬰兒食品：水果	CaringTender	Child Care	兒童保育	2.89	35	214-219	Child Care I	40	False	0	0	False	0.10349676	0.1318106	0.104402795	0.1	0.1	0.1
217	Baby Food: Meat	嬰兒食品：肉類	CaringTender	Child Care	兒童保育	4.49	35	214-219	Child Care I	50	True	0	0	False	0.13006108	0.11435518	0.13006108	0.1	0.1	0.1
218	Nutritive Milk Mix	營養混合乳	CaringTender	Child Care	兒童保育	4.45	35	214-219	Child Care I	80	False	0	0	False	0.10607374	0.18702142	0.049760252	0.1	0.1	0.1
219	Nutritive Milk Powder	營養奶粉	CaringTender	Child Care	兒童保育	15.99	35	214-219	Child Care I	25	True	0	0	False	0.19	0.181	0.19	0.1	0.1	0.1
220	Ecologic Diapers	生態尿布	CaringTender	Child Care	兒童保育	14.99	36	220-226	Child Care II	8	True	0	0	False	0.275	0.29	0.41	0.1	0.1	0.1
221	Basic Diapers	基本款尿布	CaringTender	Child Care	兒童保育	16.99	36	220-226	Child Care II	8	True	0	0	False	0.275	0.29	0.41	0.1	0.1	0.1
222	Toddler Diapers	幼兒尿布	CaringTender	Child Care	兒童保育	18.99	36	220-226	Child Care II	8	True	0	0	False	0.275	0.29	0.41	0.1	0.1	0.1
223	Premium Diapers	優質尿布	CaringTender	Child Care	兒童保育	23.99	36	220-226	Child Care II	8	True	0	0	False	0.275	0.29	0.41	0.1	0.1	0.1
224	Aloe Baby Wipes 	蘆薈嬰兒濕紙巾	CaringTender	Child Care	兒童保育	3.99	36	220-226	Child Care II	80	True	0	0	False	0.20664325	0.035919473	0.16989818	0.1	0.1	0.1
225	Basic Baby Wipes	基本嬰兒濕紙巾	CaringTender	Child Care	兒童保育	3.19	36	220-226	Child Care II	80	True	0	0	False	0.22356538	0.038106613	0.16470829	0.1	0.1	0.1
226	Baby Powder	嬰兒爽身粉	CaringTender	Child Care	兒童保育	3.99	36	220-226	Child Care II	30	True	0	0	False	0.14	0.181	0.14	0.1	0.1	0.1
227	Orange Soda	橙汽水	Pulp	Soda Drinks	汽水	2.25	37	227-233	Soda Drinks II	20	False	1	0	False	0.09707737	0.31689295	0.09648949	0.1	0.1	0.1
228	Pineapple Soda	鳳梨汽水	Jus Tsistu	Soda Drinks	汽水	2.45	37	227-233	Soda Drinks II	20	False	1	0	False	0.09707737	0.31689295	0.09648949	0.1	0.1	0.1
229	Tropical Soda	熱帶蘇打水	Ropico	Soda Drinks	汽水	3.25	37	227-233	Soda Drinks II	20	False	1	0	False	0.09707737	0.31689295	0.09648949	0.1	0.1	0.1
230	Green Tea Drink	绿茶饮料	EastZensations	Soda Drinks	汽水	2.95	37	227-233	Soda Drinks II	40	False	1	0	False	0.08496235	0.24721341	0.08496236	0.1	0.1	0.1
231	Red Tea Drink	红茶饮料	EastZensations	Soda Drinks	汽水	2.45	37	227-233	Soda Drinks II	50	False	1	0	False	0.053336628	0.20638965	0.053336628	0.1	0.1	0.1
232	Lemon Tea Drink	柠檬茶饮料	EastZensations	Soda Drinks	汽水	1.85	37	227-233	Soda Drinks II	60	False	1	0	False	0.07077126	0.14966491	0.07077126	0.1	0.1	0.1
233	Cold Brew Coffee	冷萃咖啡	EastZensations	Soda Drinks	汽水	2.95	37	227-233	Soda Drinks II	60	False	1	0	False	0.061149817	0.1496344	0.061149813	0.1	0.1	0.1
234	Blueberry Energy Drink	藍莓能量飲料	Alien	Soda Drinks	汽水	1.95	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
235	Guava Energy Drink	番石榴能量飲料	Alien	Soda Drinks	汽水	1.95	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
236	Lima Energy Drink	利馬能量飲料	Alive	Soda Drinks	汽水	2.65	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
237	Fruit Punch Energy Drink	果汁賓治能量飲料	ApeX	Soda Drinks	汽水	2.65	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
238	Mango Energy Drink	芒果能量飲料	Lagoon Thunder	Soda Drinks	汽水	2.65	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
239	Cola Energy Drink	可樂能量飲料	Wonder Cola	Soda Drinks	汽水	2.35	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
240	Sugar Free Energy Drink	無糖能量飲料	X-Treme	Soda Drinks	汽水	2.95	38	234-240	Soda Drinks III	40	False	1	0	False	0.09098902	0.2026877	0.09098902	0.1	0.1	0.1
241	Basic Strawberry Ice Cream	基本草莓冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	3.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
242	Lemon Ice Cream	檸檬冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	3.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
243	Coffee Ice Cream	咖啡冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	3.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
244	Stracciatella Ice Cream	斯特拉西亞特拉冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	4.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
245	Strawberry Meringue Ice Cream	草莓酥皮冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	4.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
246	Caramel Ice Cream	焦糖冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	4.95	39	241-246	Sweets And Snacks V	35	True	2	0	True	0.12	0.06	0.19	0.19	0.06	0.12
247	Premium Strawberry Ice Cream	優質草莓冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	7.45	40	247-251	Sweets And Snacks VI	30	True	2	0	False	0.13	0.14	0.13	0.1	0.1	0.1
248	Strawberry Cheesecake Ice Cream	草莓起司蛋糕冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	7.45	40	247-251	Sweets And Snacks VI	30	True	2	0	False	0.13	0.14	0.13	0.1	0.1	0.1
249	Premium Caramel Ice Cream	優質焦糖冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	9.95	40	247-251	Sweets And Snacks VI	30	True	2	0	False	0.13	0.14	0.13	0.1	0.1	0.1
250	Pink Strawberry Ice Cream	粉紅草莓冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	9.95	40	247-251	Sweets And Snacks VI	30	True	2	0	False	0.13	0.14	0.13	0.1	0.1	0.1
251	Alcoholic Ice Cream	酒精冰淇淋	DelicaCold	Sweets and Snacks	糖果和零食	14.95	40	247-251	Sweets And Snacks VI	30	True	2	0	False	0.13	0.14	0.13	0.1	0.1	0.1
252	Chickpeas	鷹嘴豆	BrandiWhite	Preserves	果醬	1.9	41	252-257	Preserves II	50	True	0	0	False	0.1177321	0.12038987	0.119548306	0.1	0.1	0.1
253	Meatballs	肉丸	BrandiWhite	Preserves	果醬	2.2	41	252-257	Preserves II	50	True	0	0	False	0.11773209	0.1204489	0.119548306	0.1	0.1	0.1
254	Lentils	扁豆	BrandiWhite	Preserves	果醬	1.95	41	252-257	Preserves II	50	True	0	0	False	0.11773211	0.119453855	0.119548306	0.1	0.1	0.1
255	Tomato Soup	番茄湯	BrandiWhite	Preserves	果醬	2.35	41	252-257	Preserves II	50	True	0	0	False	0.13026173	0.14690782	0.13227122	0.1	0.1	0.1
256	Canned Corn	玉米罐頭	BrandiWhite	Preserves	果醬	1.8	41	252-257	Preserves II	60	True	0	0	False	0.102442205	0.09044232	0.10244219	0.1	0.1	0.1
257	Canned Peas	豌豆罐頭	BrandiWhite	Preserves	果醬	1.75	41	252-257	Preserves II	80	True	0	0	False	0.0849473	0.109363586	0.084947295	0.1	0.1	0.1
258	Strawberry Seeds	草莓種子	Quak	Gardening	园艺	2.99	42	258-262	Gardening I	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
259	Raspberry Seeds	覆盆子種子	Quak	Gardening	园艺	2.49	42	258-262	Gardening I	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
260	Blueberry Seeds	藍莓種子	Quak	Gardening	园艺	2.49	42	258-262	Gardening I	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
261	Pineapple Seeds	鳳梨種子	Quak	Gardening	园艺	2.99	42	258-262	Gardening I	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
262	Meyer Lemon Seeds	邁耶檸檬種子	Quak	Gardening	园艺	2.49	42	258-262	Gardening I	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
263	Tomato Seeds	番茄種子	Quak	Gardening	园艺	2.99	43	263-267	Gardening II	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
264	Pepper Seeds	辣椒種子	Quak	Gardening	园艺	2.49	43	263-267	Gardening II	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
265	Cucumber Seeds	黃瓜種子	Quak	Gardening	园艺	2.99	43	263-267	Gardening II	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
266	Radish Seeds	蘿蔔種子	Quak	Gardening	园艺	2.49	43	263-267	Gardening II	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
267	Carrots Seeds	胡蘿蔔種子	Quak	Gardening	园艺	2.49	43	263-267	Gardening II	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
268	Lawn Seeds	草坪種子	Quak	Gardening	园艺	1.99	44	268-272	Gardening III	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
269	Poppy Seeds	罂粟种子	Quak	Gardening	园艺	3.49	44	268-272	Gardening III	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
270	Tulip Seeds	鬱金香種子	Quak	Gardening	园艺	3.49	44	268-272	Gardening III	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
271	Sunflower Seeds	葵花籽	Quak	Gardening	园艺	3.49	44	268-272	Gardening III	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
272	Petunia Seeds	矮牽牛種子	Quak	Gardening	园艺	3.49	44	268-272	Gardening III	40	False	4	0	True	0.165	0.2	0.04	0.14	0.2	0.04
273	Hand Rake (A)	手耙 (A)	Quak	Gardening	园艺	4.99	45	273-280	Gardening IV	20	False	4	0	True	0.165	0.21073872	0.04	0.08	0.2107387	0.04
274	Hand Rake (B)	手耙 (B)	Quak	Gardening	园艺	5.49	45	273-280	Gardening IV	20	False	4	0	True	0.165	0.2117505	0.022551088	0.08	0.2117505	0.02255109
275	Hand Shovel	手鏟	Quak	Gardening	园艺	4.99	45	273-280	Gardening IV	20	False	4	0	True	0.165	0.21099003	0.028609749	0.07	0.21099	0.02860975
276	Hand Cultivator	手動耕耘機	Quak	Gardening	园艺	4.99	45	273-280	Gardening IV	20	False	4	0	True	0.165	0.21077354	0.03	0.05	0.2107735	0.03
277	Potting Soil	盆栽土	Quak	Gardening	园艺	9.99	45	273-280	Gardening IV	16	True	0	0	False	0.811814	0.09022301	0.43944657	0.1	0.1	0.1
278	Fertilizer	肥料	Quak	Gardening	园艺	8.99	45	273-280	Gardening IV	30	False	0	0	False	0.20334363	0.3500887	0.07597635	0.1	0.1	0.1
279	Plant Pot Dish	花盆盤	Quak	Gardening	园艺	2.99	45	273-280	Gardening IV	30	True	0	0	False	0.41	0.03	0.44915706	0.1	0.1	0.1
280	Plant Pot	花盆	Quak	Gardening	园艺	6.99	45	273-280	Gardening IV	8	True	0	0	False	0.4079126	0.3390182	0.4079126	0.1	0.1	0.1
281	AA Batteries	AA 電池	GreenLeaf	Small Electronics	小型電子產品	4.99	46	281-286	Small Electronics I	50	False	4	0	True	0.165	0.2	0.03	0.14	0.2	0.03
282	AAA Batteries	AAA 電池	Permanent	Small Electronics	小型電子產品	4.99	46	281-286	Small Electronics I	50	False	4	0	True	0.165	0.2	0.03	0.14	0.2	0.03
283	C Batteries	C 電池	Robustor	Small Electronics	小型電子產品	5.99	46	281-286	Small Electronics I	50	False	4	0	True	0.165	0.2	0.03	0.14	0.2	0.03
284	9V Batteries	9V 電池	EnergestiX	Small Electronics	小型電子產品	5.99	46	281-286	Small Electronics I	50	False	4	0	True	0.165	0.2	0.03	0.14	0.2	0.03
285	Universal TV Remote	通用電視遙控器	UniverWare	Small Electronics	小型電子產品	8.99	46	281-286	Small Electronics I	30	False	4	0	True	0.165	0.20446678	0.025	0.04	0.2044668	0.025
286	Universal Phone Charger	通用手機充電器	UniverWare	Small Electronics	小型電子產品	9.99	46	281-286	Small Electronics I	25	False	4	0	True	0.165	0.2	0.05032146	0.13	0.2	0.05032146
287	Basic Prepaid Phone	基本预付费电话	UniverWare	Small Electronics	小型電子產品	49.9	47	287-292	Small Electronics II	20	False	4	0	True	0.165	0.2	0.050321463	0.13	0.2	0.05032146
288	Basic Mouse	基本鼠标	UniverWare	Small Electronics	小型電子產品	9.99	47	287-292	Small Electronics II	20	False	4	0	True	0.165	0.2	0.07350291	0.13	0.2	0.07350291
289	Wifi Dongle	Wifi 适配器	UniverWare	Small Electronics	小型電子產品	8.99	47	287-292	Small Electronics II	20	False	4	0	True	0.165	0.2	0.07350291	0.13	0.2	0.07350291
290	Basic Earbuds	基本耳塞	UniverWare	Small Electronics	小型電子產品	12.99	47	287-292	Small Electronics II	20	False	4	0	True	0.165	0.2	0.07350291	0.13	0.2	0.07350291
291	Basic Keyboard	基本键盘	UniverWare	Small Electronics	小型電子產品	14.99	47	287-292	Small Electronics II	12	True	0	0	False	0.55	0.18	0.06281094	0.1	0.1	0.1
292	Basic Gamepad	基本游戏手柄	UniverWare	Small Electronics	小型電子產品	16.99	47	287-292	Small Electronics II	20	True	0	0	False	0.19497186	0.098011106	0.15686533	0.1	0.1	0.1
293	USB Flash Drive (128GB)	USB 闪存盘 (128GB)	WK	Small Electronics	小型電子產品	13.99	48	293-299	Small Electronics III	30	False	4	0	True	0.165	0.2	0.03	0.15	0.2	0.03
294	USB Flash Drive (256GB)	USB 闪存盘 (256GB)	WK	Small Electronics	小型電子產品	17.99	48	293-299	Small Electronics III	30	False	4	0	True	0.165	0.2	0.03	0.15	0.2	0.03
295	USB Flash Drive (512GB)	USB 闪存盘 (512GB)	WK	Small Electronics	小型電子產品	35.99	48	293-299	Small Electronics III	30	False	4	0	True	0.165	0.2	0.03	0.15	0.2	0.03
296	USB Flash Drive (1TB)	USB 闪存盘 (1TB)	WK	Small Electronics	小型電子產品	73.99	48	293-299	Small Electronics III	30	False	4	0	True	0.165	0.2	0.03	0.15	0.2	0.03
297	Basic Speaker	基本扬声器	BlueNoise	Small Electronics	小型電子產品	44.99	48	293-299	Small Electronics III	15	False	0	0	False	0.32727137	0.21375425	0.102877624	0.1	0.1	0.1
298	Basic Headphones	基本耳机	BlueNoise	Small Electronics	小型電子產品	35.99	48	293-299	Small Electronics III	15	False	0	0	False	0.32727134	0.21375424	0.10287762	0.1	0.1	0.1
299	Basic Gaming Console	基本游戏机	UniverWare	Small Electronics	小型電子產品	149.99	48	293-299	Small Electronics III	12	True	0	0	False	0.35951388	0.3633349	0.12201078	0.1	0.1	0.1
